customer_id,signup_date,region,channel,annual_spend_usd,avg_basket_items,visit_freq_month,discount_rate_pct,return_rate_pct,loyalty_score,satisfaction_score,avg_order_value_usd
C0020,22/09/2023,North,Store,$565.58,4.716210506650425,2.92,14.9%,4.9,55.851173547315646,58.01514173370114,$68.09
C0021,"Oct 02, 2023",West,Store,"USD 1,218",,0.76,31.8,13.1,64.15625346040646,57.1076447869109,$416.02
C0022,07-30-2023,East,App,"$2,893.10",15.451621612816403,6.18,3.4,6.2%,87.39126999912115,81.7697277456277,$145.52
C0023,2024-06-24,East,App,"USD 2,275",10.34771060793772,6.45,11.1%,2.7,76.64181021654909,88.5594101690002,$87.90
C0024,2024-06-09,South,Web,"$4,170.15",13.84629397145972,9.22,0.6,3.3,73.88072656389238,96.87908493993623,$119.01
C0025,2023-09-26,North,App,"$3,671.37",20.165624543211926,9.55,1.7,3.6%,88.29280662242668,98.82438856461772,$104.49
C0026,2023-04-08,North,Web,"USD 1,501",10.671762348512274, 3.2 ,28.1,12.5%,49.13984601833522,69.77346898089877,$96.50
C0027,23/08/2023,South,Store,"USD 1,121",8.102737541783572,1.08,28.1,9.5,76.99277607291812,82.31030180097989,$278.24
C0028,19/12/2023,South,Web,$666.05,4.393912740519587, 2.2 ,18.9,5.1,41.30048005780802,67.57816677314365,75.42 $
C0029,08-10-2024,North,Store,USD 525,4.611071217589361,1.97,23.7,9.9,34.5327420036217,66.99324859921079,$79.91
C0030,19/09/2023,West,Store,"USD 5,315",18.547980055424187,10.68,0.0%,1.6,91.52208225752541,92.90044867385214,126.06 $
C0031,2023-12-27,West,App,"$2,161.75",11.86069156097195,3.79,17.4,3.0%,64.21407048322965,88.1678952606402,$115.32
C0032,02-02-2024,East,App,USD 669,6.4203264443622325,4.34,16.0%,5.5%,45.29863505277423,52.38591340284775,51.20 $
C0033,2023-04-17,East,App,"$1,592.30",9.387083278472023,,30.7,14.6,66.76491726429839,61.38505511382947,$298.86
C0034,2024-03-16,South,App,"$1,306.02",,3.06,25.6,11.7%,87.99063564499653,67.30398003872324,USD 122
C0035,"Nov 09, 2023",North,Store,"$1,093.11",7.942289345057772,2.48,31.8,16.2%,60.09865607453873,73.50412423642425,90.43 $
C0036,2024-04-12,North,App,"$4,172.57",15.956853069486309,9.23,4.3%,2.6%,84.50013409461026,100.0,USD 96
C0037,2024-06-25,North,Store,$736.31,4.563143971032579,4.33,18.8%,6.0%,30.607873924102677,70.62981974234363,USD 54
C0038,"Nov 12, 2023",East,App,"$1,207.46",4.880290881010296,3.47,29.3%,11.3,51.90821778617424,68.96063550960301,85.68 $
C0039,2023-09-21,West,Store,"USD 2,152",9.156869009107961,6.29,6.0,4.2,82.26056627623441,88.61044888529528,$94.36
C0040,2024-10-09,South,Store,USD 507,4.910199236715509,3.84,19.4,3.5%,33.726825866697865,50.89337465437236,$69.66
C0041,07-03-2024,East,Store,"$1,736.94",8.88413352114937,3.85,25.9%,13.5,88.78183247238499,67.97600247721351,$121.76
C0042,2024-09-02,South,App,"4,508.47 $",19.41633859386926,8.13,0.0,3.1,90.4102975876571,100.0,USD 154
C0043,06-13-2024,North,App,"$1,569.72",7.548695242527779,2.2,31.2,11.4,39.68970615845274,77.56745602750938,$153.55
C0044,2024-11-12,West,App,USD 567,4.571934041249289,1.59,20.5,6.1%,45.695429395117536,69.71055829536334,USD 112
C0045,2024-09-29,South,App,"$4,563.84",14.432632338160978,9.24,5.2,3.2,82.27513937605426,83.97318059449941,USD 140
C0046,22/11/2023,South,Store,"$2,645.16",10.760146050983046,6.14,13.2%,4.0,72.7310447987268,84.578626813186,USD 68
C0047,15/11/2024,West,App,"1,806.27 $",11.339411509698172,6.79,7.4,3.7%,84.90491814578189,91.53323781027714,$51.61
C0048,06-16-2024,East,Web,"USD 1,296",5.707834105796914,1.74,26.6%,10.0,78.20067069806052,64.05484020237346,$193.47
C0049,"Jul 17, 2024",North,Store,$558.73,2.7959832827448223, 4.6 ,17.7%,6.2%,47.003602305550295,70.83175620727361,45.49 $
C0050,11/11/2023,West,Store,"USD 4,316",17.43395694969743,8.26,0.0%,2.5,77.28668172464131,100.0,$161.88
C0051,18/10/2023,South,Store,"$1,782.11",4.105523528501374,1.29,24.5%,10.1,59.34071879695372,69.36784992869191,$382.77
C0052,2023-07-23,West,Web,"$4,517.54",16.752379975903683,8.32,0.0%,1.3,84.20722675456975,95.35081652455477,$102.12
C0053,02-24-2023,East,Store,$486.88,5.5728187649321965,2.59,14.6,3.3,44.07522187602993,56.90931246188264,$34.77
C0054,2024-04-20,East,App,"USD 4,313",14.088033960614887,8.84,6.8,5.1,95.83276956562949,91.46680663539911,$99.13
C0055,11-20-2024,South,Store,USD 524,6.7446498441877445,4.27,13.2,6.9,43.87926851453468,76.19392552578906,$47.42
C0056,"Nov 21, 2024",East,Store,$500.89,4.742479710128101,3.20,18.7%,6.6,35.930596709351505,49.02704165695537,31.81 $
C0057,10-22-2023,North,Web,"$5,815.83",18.976909576081876,8.83,0.0%,0.4%,91.61196075306876,97.48544171341854,USD 159
C0058,2024-08-10,West,Web,"USD 5,006",13.803198705299758,9.16,6.8,4.9,91.96137993038175,82.29512175071515,125.08 $
C0059,2024-05-17,North,Store,"$4,345.42",17.870113753256213, 8.0 ,0.0,6.1%,89.8218210067057,100.0,$144.07
C0060,2023-07-28,West,App,"$2,933.58",10.233770158927442,4.58,13.0%,3.7%,80.77593005016777,65.1944164932305,USD 169
C0061,"Mar 15, 2024",West,Web,695.68 $,1.8983888400251874,1.14,16.0,9.3,61.15652273086385,57.742022326870064,USD 173
C0062,06-16-2023,West,Store,$638.27,3.7656149918420727,3.80,22.8,11.4,54.15196112090585,44.81696186113981,USD 20
C0063,"Oct 26, 2024",South,App,,6.755256709566584,2.14,27.8%,11.7,67.15714592860903,78.21652711705254,USD 115
C0064,17/07/2024,East,Web,"$1,143.93",6.896393446063717,2.07,26.4,10.1,67.44921277003172,73.93027175157005,$157.25
C0065,"Apr 26, 2024",East,App,"$3,508.26",15.273356190819523,8.45,7.6,2.7,76.54541273647607,90.6298292847219,$112.16
C0066,"May 29, 2024",North,Store,"USD 2,427",10.27937866504397,6.17,9.6%,5.5,96.23288846501279,94.897209094436,110.83 $
C0067,11/11/2024,East,Web,$571.16,6.956769386167336,0.5,19.2,2.0%,44.961298201578316,71.27181481416066,$552.94
C0068,2024-09-22,North,Store,"$1,652.36",7.847580997867427,3.76,24.4%,14.3,75.00624199785699,72.48125251600455,$115.62
C0069,2023-12-01,East,App,"3,633.89 $",19.31204530268504,9.74,5.7,5.6%,97.25452496225333,95.22154160631034,USD 83
C0070,"Apr 17, 2023",South,App,"$4,104.40",14.1214558291244,7.3,7.0%,2.8%,88.8475440124556,94.14364983724147,$147.65
C0071,2024-11-01,North,Store,$592.76,4.116050305038414,2.88,16.4,4.7,41.657394315029826,63.64487590817368,$92.80
C0072,21/09/2024,North,Web,"$1,768.71",13.703042198253762,6.17,10.6,6.6%,87.87677142940144,73.55698433587301,$82.81
C0073,"Mar 04, 2024",North,Store,"$4,315.20",18.251266764586838,9.29,4.4,5.4,72.55953420151359,86.96857945113145,$96.99
C0074,"Nov 12, 2023",West,Web,"2,336.04 $",10.166255062800273, 6.0 ,2.6,3.9,81.08304909523642,79.8255302619221,$83.71
C0075,31/05/2023,North,Web,"$1,344.00",7.659157388080885,2.2,25.8%,10.2,73.42127790636509,56.09698844185819,$158.75
C0076,2023-07-19,West,Store,$430.83,2.9004567677664546,3.98,14.9%,7.8%,51.69728695445833,66.05568580278185,$42.28
C0077,2024-11-11,West,App,"USD 1,459",4.853984122922184,4.16,25.5%,11.9,47.74874042121281,70.56066154219674,$72.89
C0078,2023-09-08,South,App,,14.224534456660663,9.45,6.1,3.9,77.79347679007859,97.23618545776459,154.22 $
C0079,2023-05-14,North,App,"4,081.04 $",18.093185778237007,8.18,7.5%,3.8%,73.89971569098414,71.63164664524155,$122.40
C0080,2024-12-26,West,Web,"USD 4,244",16.153744053849504,7.64,4.6,1.8,76.97280323600631,89.15708320039927,$160.00
C0081,07/10/2024,West,Store,"$1,376.58",5.133284909799378,0.92,30.2,10.9,69.13570937795153,70.17715789375153,USD 357
C0082,2024-11-28,North,Store,$579.62,3.196077774010848,2.34,14.3%,3.6%,32.07515312193804,64.95665754856205,$84.15
C0083,2024-02-11,East,Web,"$1,512.52",9.862733687504297,2.31,26.4,12.8,58.97576817393089,70.11425949203375,USD 189
C0084,2023-03-03,West,Web,$494.03,4.728957677794009,2.33,14.6,5.6,40.53446746014934,64.60103416060706,$69.16
C0085,03/11/2024,South,Store,"$2,516.87",17.420669168448068,9.71,2.1%,2.5%,80.18228010774232,96.26325666959154,$20.00
C0086,"Aug 19, 2023",South,App,$620.35,7.208671544151215,4.19,21.0,6.5,37.33938300223214,70.528890428128,$49.47
C0087,"Jul 28, 2024",South,App,"3,724.72 $",18.839082109881375,10.25,12.3%,1.4%,84.40143501120096,99.67892888568582,USD 95
C0088,2024-06-09,South,Web,560.11 $,4.973158729905831,,16.1,2.7,61.3110417004912,63.04289708793495,23.85 $
C0089,19/12/2024,North,App,"$2,712.69",10.68692435270435,5.73,6.6%,4.7%,85.88191618514618,87.52886438521664,USD 132
C0090,2023-01-26,East,App,"$2,227.05",,7.63,11.4,3.9,73.93108469251267,75.78527289694435,USD 42
C0091,12-02-2024,West,App,"1,179.92 $",9.744312101633462,3.51,28.4%,14.1,56.521581814637265,70.82535341655257,$121.40
C0092,01-27-2023,South,App,USD 680,7.098213725421346,2.94,16.4,9.9%,42.657036074492424,53.216870779909,$62.16
C0093,23/04/2023,North,App,"$2,851.02",7.471619745660462,6.05,15.9%,3.4,92.31814701279079,88.1693841197681,USD 128
C0094,"Feb 02, 2023",West,Store,$563.36,5.403555603547392,3.35,11.0%,8.7%,48.62830595294255,61.78107678159348,$57.15
C0095,"Jun 12, 2023",East,Store,621.75 $,6.458519166506562,2.25,17.4,7.0,36.89280997581589,58.31699434645876,$70.67
C0096,"Sep 25, 2024",North,Store,"USD 2,847",11.735847797969146,7.53,17.5%,4.6,83.62217178154236,88.97053227171284,$56.99
C0097,2024-11-30,North,Web,694.69 $,4.661643555008201,4.1,15.7%,5.9,63.0070040875317,53.36341106712425,$43.11
C0098,2023-09-01,West,Store,"$1,200.47",8.284251397353785,1.53,22.5,13.2,47.058294037187096,71.28856399410121,$197.91
C0099,"May 15, 2024",North,App,"USD 2,395",11.907854698338534,5.95,9.4%,1.3,76.01895220901989,71.09677382811708,USD 101
C0100,08-21-2023,South,Web,"USD 1,615",6.848811173593696,3.51,29.5%,9.8,34.29323502713313,76.10235983958599,$123.90
C0101,2024-10-14,West,App,"USD 1,523",5.908044024846417,3.33,20.4,11.6,58.70977167267315,73.71595362043622,$123.06
C0102,02/08/2024,South,Web,"$2,131.30",13.565010605608997,6.19,13.7,4.1,75.82559266884567,88.29457224300523,USD 96
C0103,01/01/2024,South,Store,"3,791.57 $",17.897614572216014,9.13,1.5,0.9,90.81257572417651,86.44123058141811,76.63 $
C0104,2023-08-21,West,Store,"$1,329.12",4.994457301239611,1.94,34.3%,10.5,54.9592899793661,84.28394227686599,USD 178
C0105,"Apr 12, 2023",East,Web,"$4,447.52",14.669426235845584,8.99,1.2%,0.0,100.0,89.34643823930367,USD 142
C0106,2024-06-23,North,App,"$2,442.48",10.408122293416348,7.47,12.0,3.3,94.64859168662886,87.67264950845515,USD 91
C0107,2024-02-23,North,Store,958.37 $,7.7929298502148745,1.57,28.8,11.5%,60.3181086176797,70.52351133738362,$151.61
C0108,2023-09-27,East,Web,$395.02,,3.57,11.3,9.8,37.85604254268286,65.57673795182802,36.14 $
C0109,10-13-2024,North,App,"$3,161.32",16.93856094003301,8.75,5.4,2.5,81.57936734576825,84.88184385643538,$108.06
C0110,"Aug 06, 2023",North,App,637.79 $,4.83357086809468,3.42,20.4%,4.9,48.36165365463779,75.33887234672362,25.16 $
C0111,"Feb 01, 2023",North,App,USD 814,2.6152612877969075,3.01,22.2%,4.3,43.63987723415862,57.016217981407145,$40.90
C0112,10-10-2023,East,Web,556.97 $,5.277301513986837,3.68,23.4,3.5%,51.1125417903792,57.65122843867876,$20.00
C0113,2024-01-05,North,Store,USD 633,3.135808281805313,4.60,19.8,5.9,39.580407269708175,64.91541792850745,$26.62
C0114,2023/03/05,West,Web,"$1,443.59",6.480154342706541,1.03,30.4,10.0,56.938038994751686,67.90081694589179,USD 337
C0115,2023-06-14,West,Web,"$1,647.85",5.998714175311823,3.46,33.8,10.3,50.667924202147546,74.55401136085875,122.77 $
C0116,2023-02-24,North,Web,$423.36,5.909120005740517,4.43,14.8%,4.3%,47.08204404510693,65.23317692046646,USD 35
C0117,"Dec 02, 2024",South,App,"$3,026.52",10.160529718625256,7.75,1.1%,4.7,73.03096422807903,76.44946219966691,USD 117
C0118,"Sep 27, 2024",South,Store,"USD 2,678",9.185206499341643,5.89,8.9,3.3,84.34275335707058,75.611707894587,USD 133
C0119,21/12/2023,West,Store,"$1,024.91",2.9872366066337577,2.44,24.8,12.2,47.527048060129374,68.01851801829834,$103.90
C0120,25/09/2024,North,Store,"USD 2,525",12.635251694966659,5.72,13.2,4.3,73.86656099588701,77.09913826977994,139.20 $
C0121,"Oct 17, 2024",North,Web,"1,317.27 $",7.011484831281058,1.98,21.9%,12.3,56.41348795778274,66.06567477300527,$185.48
C0122,12-03-2023,East,Web,"$4,322.57",18.407044649849073,9.61,8.3,0.0%,92.94548404918953,92.91378163645213,$126.06
C0123,08-29-2024,East,App,"1,533.03 $",9.706681316340363,2.76,22.1%,12.1,64.43786254920607,71.60035181144094,USD 177
C0124,"May 17, 2024",East,Store,"$2,131.90",12.117343384463338,5.72,5.4,2.4,90.03335495726253,85.70860237803645,86.77 $
C0125,2024-07-04,East,Web,"USD 1,988",12.413082539601502,6.75,0.9%,1.7,80.68929817125458,87.44235896529496,$68.19
C0126,"Sep 21, 2024",East,App,"USD 1,624",11.957434302237909,6.36,9.9%,2.7,86.3467489325496,67.99230791341085,$46.99
C0127,2023-07-12,North,Store,$663.56,3.8476160798457597,4.46,20.0,4.5,56.1693354898365,61.530537152040296,USD 49
C0128,10-13-2023,North,Store,679.08 $,5.223780327915264,2.29,14.2%,7.4,62.765626648678364,56.47460723449225,USD 88
C0129,2024-02-01,North,App,"USD 2,707",13.742742602957847,6.61,12.6%,4.6,88.43108974787455,76.83934532820615,$115.96
C0130,06-03-2024,East,Store,"USD 2,419",,5.79,9.1%,2.2,93.12781865402361,89.18908919517489,$97.28
C0131,2024-04-30,West,App,"2,630.26 $",10.189710123977845,6.81,12.8%,6.8,76.7411696248613,80.44873278071107,USD 143
C0132,04-Jul-2024,North,App,"USD 1,100",7.9078203665184,3.66,31.6,13.7,58.95446860542298,76.23749521174227,USD 64
C0133,2024-06-16,North,Store,"$3,756.73",20.36354007349327,7.38,6.3%,1.1%,76.1875012597705,91.032565294957,$97.29
C0134,26/02/2023,North,App,"$1,284.70",7.845146975099159,1.7,30.3,9.1,60.296742881288296,67.38973587910863,232.40 $
C0135,06-Sep-2023,North,Store,"USD 3,802",15.022499321760154, 9.8 ,11.6,2.3,95.26039511453052,87.67587883868151,$105.47
C0136,2023-04-11,South,Web,"1,124.40 $",8.608905999619024,0.62,28.1,11.3%,48.89994139235215,68.43832259372574,$459.28
C0137,12-19-2024,North,Web,"USD 1,694",6.210763244253974,3.55,27.5%,10.9,57.45311013492466,90.19732614642152,$150.73
C0138,07-01-2024,East,App,"$5,052.46",17.99783222365513,9.09,4.2%,0.9,95.55992391520567,97.74593108776457,USD 184
C0139,2024-01-07,West,Web,"1,293.57 $",9.141943133773493,2.41,25.1,8.6,65.18499733615373,69.15175033602902,USD 157
C0140,2024-05-30,North,App,"$2,095.95",11.878707224139555,6.92,15.0,3.7%,68.87057462506681,77.10988497959801,USD 92
C0141,2023-03-27,East,Web,USD 512,5.240035671272719,3.22,20.8%,3.1%,37.32802600445781,74.10442176247501,USD 32
C0142,"May 16, 2023",North,Web,"$1,753.42",9.171275743219384,6.87,7.0,8.1,63.018172232989215,70.40352942150227,$55.96
C0143,"Apr 22, 2024",East,Store,USD 554,5.877803452351288,1.58,21.0%,7.3,57.333755223109804,63.491642703042764,USD 98
C0144,2024-08-26,West,Web,$554.56,5.911554557652454,2.42,21.1%,5.4%,38.40840663533895,57.18277462336429,$86.46
C0145,"May 24, 2024",East,App,"USD 2,671",9.28944207957376,6.02,7.7%,8.5,71.1669704992719,78.87355973305057,$102.86
C0146,07/08/2024,West,Store,"3,081.10 $",17.745500355178702, 10.9 ,0.0%,4.1,95.63391827387306,91.04169422954216,USD 66
C0147,2023-10-20,South,Web,"USD 2,257",10.639959407439047,7.72,0.0,3.9,83.90444176677146,89.00112074087099,USD 85
C0148,"Aug 31, 2023",West,Store,"USD 1,537",8.305897621362018, 1.0 ,24.5,16.2,55.26009702052667,67.52267323919015,$352.14
C0149,08/01/2024,South,Store,"$1,157.27",,1.67,25.2%,14.7%,62.6960397290101,71.60709694114946,USD 193
C0150,09-06-2023,South,App,$377.59,6.245603663154212,2.79,18.0,3.8,51.19097830392077,66.38056060636579,$37.43
C0151,"Jun 13, 2023",South,Web,"$4,173.45",15.575868458115366,9.39,9.5,1.5,86.18277487242521,85.2005166418692,$131.79
C0152,2023-03-22,West,Store,"$2,403.07",9.412171445797304,6.91,9.0,4.4%,90.44040129636323,82.00799828004061,$101.41
C0153,"Aug 26, 2024",West,Store,"USD 2,459",10.596226643328546,6.00,16.4%,3.0%,90.71819574478714,80.48146425033393,$103.43
C0154,22/11/2023,East,Web,"USD 4,394",17.415992521009397,8.94,3.7%,1.8%,100.0,100.0,USD 109
C0155,23/10/2023,South,Web,$703.07,6.191084906142168,3.13,14.4,7.6,51.31879250014731,60.85051068376641,$71.27
C0156,2023-03-22,North,App,"USD 1,081",7.218873437194278,4.18,28.3,14.3%,57.82462051480637,65.2515092857276,USD 85
C0157,"Dec 06, 2024",South,Web,USD 706,3.638000359377351,0.5,18.7%,3.7,31.0019368551616,51.697484193904515,368.64 $
C0158,2024-02-01,West,Web,"$3,286.62",8.951791466699342,6.50,4.4%,2.0%,78.73100207279056,86.97297581682898,$100.88
C0159,05/03/2024,West,App,704.07 $,4.919982034965334,3.91,20.6,5.4%,49.825084101755266,52.631400466655535,20.00 $
C0160,03-31-2024,South,Store,"$3,637.96",15.98807640218715,10.67,5.2,3.0%,77.52893041624239,90.44429534975394,$97.18
C0161,2023-04-06,West,Store,"USD 2,543",12.78965460645685,7.33,9.4,5.7%,96.07400998140845,86.14317831399885,$62.38
C0162,2024-02-29,North,Store,"$6,160.41",18.28519197987822,7.89,4.2%,5.9%,76.36411611795093,86.53750895853265,USD 195
C0163,2024-04-18,South,Web,"$1,329.16",4.588778889535278,1.91,25.3%,11.4%,54.89581805354153,67.89226137385074,$166.48
C0164,22/02/2023,South,App,"USD 1,507",8.605614922977365,1.33,29.0,13.5%,55.1382228390264,71.1316097759438,$278.45
C0165,2024-06-29,North,Web,"$1,402.96",6.143875497164158,1.74,26.6%,13.9,67.20291950139568,69.57814997089906,$218.05
C0166,29/03/2024,South,App,"$1,583.68",10.904993953212859,6.33,10.0,4.1,89.92406003088314,77.37719235941223,USD 47
C0167,"Sep 30, 2024",North,App,"2,258.08 $",,5.62,8.3,3.8%,79.6015362865806,82.19730551199979,$122.73
C0168,"Jul 03, 2024",West,Store,"USD 3,662",18.259250127389045,9.14,8.4%,3.1,100.0,94.80531772540806,USD 84
C0169,2023-09-12,South,Store,$678.20,6.593815357287189,,17.1%,4.6%,60.76239225482351,69.63493934829566,20.00 $
C0170,2023-04-14,North,Store,"$3,899.47",19.843190311767056,7.85,0.2%,7.9,83.08770483163356,88.2508521703776,146.86 $
C0171,16/09/2024,East,Store,"$1,355.71",9.383839478877878,0.88,24.2,11.7%,67.07993892250757,63.491399118614574,$394.87
C0172,2024-03-10,West,App,"USD 2,950",10.598993654974183,9.46,11.6%,6.3,85.42040150245558,73.10803782487255,USD 47
C0173,07-08-2024,North,Store,,6.4279174939158334,1.58,33.3%,13.6,59.747784516673434,71.92852432018158,$166.92
C0174,20-Aug-2024,South,Web,"$3,074.34",9.86460764044219,,15.2,5.3,68.45147380412934,88.22657743226941,129.27 $
C0175,10/03/2024,East,Store,"USD 2,667",12.734972368625337,6.98,11.5%,3.8%,92.99421203801298,78.56462519787249,$133.76
C0176,2023-05-22,West,App,"USD 2,342",14.587106843831084,7.65,14.9,10.6%,80.05548584026499,88.06804366717289,USD 52
C0177,2023-12-31,North,Store,$647.50,6.21780143011853,3.31,9.1,6.8,56.33716124782133,73.08455095594303,USD 30
C0178,2024-10-28,North,Store,"USD 2,127",8.25559453232227,5.82,17.2,1.9,59.3211951392408,82.07789442190843,81.25 $
C0179,"May 23, 2023",East,Web,"4,062.55 $",15.569017805995092,8.02,6.7%,3.2%,87.43443475177925,93.60952723398516,USD 110
C0180,12-10-2024,West,App,"$2,909.86",7.771093367088196,6.14,12.0%,2.8%,78.86113591515812,88.77313066619057,USD 128
C0181,"Apr 13, 2023",West,Store,USD 637,8.102072276293466,2.71,34.0,12.1%,46.47590161847566,75.4806258549795,32.27 $
C0182,2024-06-03,North,App,"USD 2,734",12.540935651101499,6.07,6.7%,3.9,72.13891985857889,90.63298426963968,USD 120
C0183,2024-03-19,South,App,USD 506,3.9640015046482144,3.48,19.8%,5.3%,27.71886888680818,79.83885037331555,$37.96
C0184,28/09/2024,South,Web,"$3,606.27",19.385053438873587,9.33,5.0%,0.9%,86.90251433272503,87.21908493372995,$46.31
C0185,06/07/2023,North,App,$647.10,4.402559894795272,2.02,15.2%,10.9%,48.90325935802995,52.5399195251212,$97.85
C0186,18/07/2023,North,App,"$2,339.08",10.695556854850668,6.71,9.0,1.1%,67.81101302637302,83.99363014889528,$54.72
C0187,05-23-2023,South,Web,"4,751.11 $",17.259301773754565,8.69,3.6,3.8,97.35706909696715,82.34666827634811,USD 106
C0188,04-30-2024,South,App,USD 513,6.409558198597335,3.98,24.9,6.1%,46.46396414378223,57.74671601712499,21.48 $
C0189,07-20-2023,East,App,"4,518.59 $",13.500560628295753,9.49,5.0,1.8,89.28746972768828,96.2479774960822,$121.62
C0190,2024-11-07,West,App,"$1,146.96",7.767919236912284,3.75,24.0%,13.1%,49.25395391039705,65.99583565243213,60.69 $
C0191,28/07/2023,East,App,"USD 4,579",17.02935574896545, 7.0 ,12.8%,1.8%,85.16412907214425,91.39377608271406,$145.30
C0192,02-02-2023,South,App,"USD 1,088",7.133797908450527,3.76,23.3%,8.8%,56.45673609604428,70.6867178952342,USD 85
C0193,"Jul 09, 2023",East,Store,"USD 2,774",12.184188205812822,8.0,5.5%,5.1%,87.9312538428882,70.8863705297424,USD 107
C0194,2024-08-22,South,Web,"1,421.86 $",8.23179025353062,2.22,21.4,10.1,55.98461390776809,61.86627873325119,$180.59
C0195,05-13-2023,North,App,USD 405,5.638026518097243, 2.3 ,24.7,2.5,48.02630199082722,58.98601689406898,$36.91
C0196,22/06/2023,East,App,"$2,020.60",13.341576157367648,5.82,13.5%,0.5%,74.53161135837891,81.80177297087916,USD 80
C0197,2023-04-09,North,Store,"$2,382.84",11.996387391463836,6.51,8.4,0.9%,75.07860961027167,79.93778624602064,$76.63
C0198,2024-08-07,West,Store,"USD 2,565",10.527073648578343,5.64,9.0,3.3,61.33585575064696,81.3989348087138,$79.87
C0199,02/05/2024,East,Web,$527.85,6.143742992675445,2.67,20.3%,8.8,45.955442454511704,64.48809008734325,$35.17
C0200,"Apr 13, 2024",West,Web,USD 604,3.03873810584704,2.04,14.9,6.2,55.656786189418256,51.21274610362299,$66.29
C0201,2023-09-08,North,Web,"USD 1,247",6.040250199484743,3.22,22.9%,13.0,40.95929174051068,81.96754739006235,95.38 $
C0202,"Aug 08, 2024",East,Web,"$2,321.93",11.09125506766861,5.74,15.2%,3.3,78.65014294186413,85.79379029758859,USD 128
C0203,21/05/2023,East,App,"$4,402.33",17.99950797999834, 7.1 ,10.1,2.7,80.5470926114569,89.63037888543772,USD 115
C0204,10-20-2023,North,App,"USD 1,613",6.826812721310576,2.88,26.6%,13.7,53.830397764362885,71.10607346339516,$133.15
C0205,05-27-2023,North,Web,"USD 3,700",18.946647240941704,12.18,4.0,1.5,93.1915750148628,93.33546796007974,USD 65
C0206,2023-11-25,West,App,"USD 1,519",7.097518105180317,2.62,32.4,9.2,49.897009386735064,68.5982758883699,$115.33
C0207,2023-10-19,West,Store,"$1,199.18",7.550356648525167,4.01,27.8,10.5,48.65848868056131,69.62824632687182,$63.18
C0208,11-05-2024,North,Store,"$1,030.99",9.419386327109915,6.85,20.4%,0.0%,73.57039402873838,92.43626709834109,USD 24
C0209,2024/03/01,East,App,"USD 4,708",15.131319819234221,9.02,0.0%,5.0,94.05279610799167,89.74499425000461,$131.18
C0210,02-22-2023,West,Store,$616.96,5.623683156169267,2.93,15.3%,5.2,40.41479115489937,65.17921086590168,$55.71
C0211,2023-06-16,North,Store,608.15 $,3.9303031081653703,3.10,16.0%,4.3%,46.61556615958387,73.1389959619593,$31.72
